prot1,prot2,distance
1,24,0.9923273657289002
1,25,0.9411764705882353
1,26,0.928030303030303
1,27,1.0085889570552147
1,28,0.9602484472049689
1,29,0.9408138101109741
1,30,0.9402035623409669
1,31,0.9152542372881356
1,32,0.9306071871127634
1,33,0.9161372299872935
1,34,0.9784810126582278
1,35,0.9230769230769231
1,36,0.9366106080206986
1,37,0.9406674907292955
1,38,0.9586028460543338
1,39,1.0
1,40,0.9444444444444444
1,41,0.9409638554216867
1,42,0.9842041312272175
1,43,0.9491124260355029
1,44,0.9223181257706535
1,45,0.8796526054590571
1,46,0.9820143884892086
1,47,0.9964071856287425
1,48,1.0177304964539007
1,49,1.04
1,50,0.9511599511599511
1,51,0.9712574850299401
1,52,0.9974391805377721
1,53,0.9146666666666666
1,54,0.8727272727272728
1,55,0.9021601016518425
1,56,0.9642857142857143
1,57,1.0537240537240538
1,58,1.0186335403726707
1,59,0.9873577749683944
1,60,1.054320987654321
1,61,1.0288808664259927
1,62,0.9190231362467867
1,63,1.0129564193168434
1,64,1.015963511972634
1,65,1.0456674473067915
1,66,1.015970515970516
1,67,0.9808673469387755
1,68,1.0084745762711864
1,69,0.9754838709677419
1,70,0.9082191780821918
1,71,0.9174560216508796
1,72,0.9667994687915007
1,73,0.9226594301221167
1,74,0.9439140811455847
1,75,0.9300361881785284
1,76,0.9013906447534766
1,77,0.9797619047619047
1,78,0.9902439024390244
1,79,1.0166073546856464
1,80,0.9323116219667944
1,81,0.9218362282878412
1,82,0.9712643678160919
1,83,0.9019607843137255
1,84,0.9238451935081149
1,85,0.8807692307692307
1,86,1.0011709601873535
1,87,1.0071428571428571
1,88,1.005973715651135
1,89,0.8764629388816645
1,90,0.8935611038107752
1,91,0.916243654822335
1,92,0.9473039215686274
1,93,0.9298245614035088
1,94,0.9259259259259259
1,95,0.927860696517413
1,96,0.9667519181585678
1,97,1.0654545454545454
1,98,0.995
1,99,0.9544364508393285
2,0,0.5894357743097238
2,1,0.32533013205282113
2,3,0.35414165666266506
2,4,0.5771495877502945
2,5,0.7596717467760844
2,6,0.9027611044417767
2,7,0.957983193277311
2,8,0.9054545454545455
2,9,0.9711538461538461
2,10,0.9633136094674556
2,11,0.9583333333333334
2,12,0.9133247089262613
2,13,1.0060901339829476
2,14,0.9018087855297158
2,15,0.9168937329700273
2,16,1.0063131313131313
2,17,0.9331476323119777
2,18,0.9895287958115183
2,19,0.9541884816753927
2,20,0.9591029023746702
2,21,0.9603698811096433
2,22,0.9358288770053476
2,23,0.9895287958115183
2,24,0.9238985313751669
2,25,0.8972691807542262
2,26,0.8802721088435375
2,27,1.0183150183150182
2,28,0.983790523690773
