prot1,prot2,distance
2,53,0.9780821917808219
2,54,1.1243243243243244
2,55,1.0029585798816567
2,56,0.8862973760932945
2,57,1.0140056022408963
2,58,0.9910179640718563
2,59,1.0265486725663717
2,60,0.9014084507042254
2,61,1.0121212121212122
2,62,0.9597701149425287
2,63,1.1108108108108108
2,64,1.0591549295774647
2,65,0.9520958083832335
2,66,1.0760233918128654
2,67,1.0804597701149425
2,68,1.0277777777777777
2,69,0.9143835616438356
2,70,0.9871794871794872
2,71,1.0
2,72,0.9725609756097561
2,73,1.08359133126935
2,74,0.925
2,75,1.0846994535519126
2,76,1.010840108401084
2,77,1.0290697674418605
2,78,1.0612813370473537
2,79,1.0113636363636365
2,80,0.9484848484848485
2,81,0.93125
2,82,1.0630372492836677
2,83,1.0895953757225434
2,84,0.9971014492753624
2,85,0.967930029154519
2,86,1.1519337016574585
2,87,1.0509915014164306
2,88,1.0507042253521126
2,89,1.0926430517711172
2,90,0.8645833333333334
2,91,1.026865671641791
2,92,1.0335195530726258
2,93,1.084931506849315
2,94,1.0238095238095237
2,95,0.9903846153846154
2,96,0.987460815047022
2,97,1.0705521472392638
2,98,0.967551622418879
2,99,1.0242424242424242
2,100,0.952076677316294
2,101,0.9937694704049844
2,102,1.0086455331412103
2,103,1.0097087378640777
2,104,0.9633333333333334
2,105,1.0632530120481927
2,106,1.1752873563218391
2,107,1.0548780487804879
2,108,1.144808743169399
2,109,1.1298342541436464
2,110,1.0059171597633136
2,111,1.0963172804532577
3,1,0.6075581395348837
3,2,0.3517441860465116
3,4,0.4098837209302325
3,5,0.71875
3,6,0.9608938547486033
3,7,1.09366391184573
3,8,0.9006024096385542
3,9,0.9663865546218487
3,10,1.005813953488372
3,11,0.9884057971014493
3,12,0.946927374301676
3,13,0.927536231884058
3,14,0.9504373177842566
3,15,0.8776119402985074
3,16,0.8895348837209303
3,17,0.88
3,18,0.9198813056379822
3,19,1.0087209302325582
3,20,1.0112676056338028
3,21,0.9880597014925373
3,22,0.9476923076923077
3,23,0.9942857142857143
3,24,1.1685393258426966
3,25,1.002967359050445
3,26,1.0090361445783131
3,27,0.9534883720930233
3,28,0.9706744868035191
3,29,0.8918032786885246
3,30,1.0670391061452513
3,31,0.9819819819819819
3,32,0.996996996996997
3,33,1.035294117647059
3,34,1.0356083086053411
3,35,0.954983922829582
3,36,0.9622641509433962
3,37,1.0158730158730158
3,38,0.997093023255814
3,39,0.8757396449704142
3,40,0.9305555555555556
3,41,0.9705882352941176
3,42,1.0509383378016086
3,43,0.9898734177215189
3,44,0.9971751412429378
3,45,0.9446064139941691
3,46,0.9237804878048781
3,47,1.0084269662921348
3,48,1.0975609756097562
3,49,1.1400000000000001
3,50,1.08
3,51,1.0315789473684212
3,52,1.1409574468085106
3,53,1.0606060606060606
3,54,1.1038251366120218
3,55,0.9503105590062112
3,56,1.0225988700564972
3,57,1.0113636363636365
3,58,0.8766233766233766
3,59,1.0572289156626506
3,60,0.8514492753623188
3,61,1.012158054711246
3,62,0.9818731117824774
3,63,1.0514285714285714
